,currency_name,currency_pairs,currency_prices,currency_volumes
68,AdEx,ADX/ETH,$0.582745,"$109,151"
69,Obsidian,ODN/BTC,$0.091110,"$107,426"
70,DomRaider,DRT/BTC,$0.013667,"$98,721"
71,AirToken,AIR/USDT,$0.007220,"$98,553"
72,EOS,EOS/ETH,$5.74,"$93,784"
73,Nxt,NXT/USDT,$0.114041,"$84,186"
74,DomRaider,DRT/USDT,$0.014370,"$83,994"
75,Emercoin,EMC/USDT,$2.27,"$80,102"
76,W3Coin,W3C/ETH,$0.000303,"$75,381"
77,Verge,XVG/ETH,$0.046480,"$72,866"
78,Veritaseum,VERI/BTC,$122.23,"$72,304"
79,Eroscoin,ERO/BTC,$0.042752,"$71,689"
80,Metaverse ETP,ETP/ETH,$0.737160,"$69,298"
81,Paragon,PRG/USDT,$0.248929,"$63,754"
82,Envion,EVN/BTC,$0.420510,"$63,592"
83,MyBit Token,MYB/ETH,$2.83,"$58,502"
84,Swarm City,SWT/ETH,$1.04,"$58,137"
85,NEM,XEM/USDT,$0.219854,"$57,884"
86,Cardano,ADA/USDT,$0.160468,"$55,709"
87,HireMatch,HIRE/ETH,$0.027624,"$55,631"
88,Bitcoin Gold,BTG/ETH,$41.67,"$54,164"
89,Zcash,ZEC/ETH,$193.72,"$53,116"
90,Veritaseum,VERI/ETH,$124.15,"$50,195"
91,Super Bitcoin,SBTC/ETH,$25.02,"$49,294"
92,DADI,DADI/ETH,$0.151312,"$48,880"
93,Banca,BANCA/BTC,$0.000371,"$47,378"
94,Blackmoon,BMC/ETH,$0.587013,"$46,290"
95,CoinPoker,CHP/ETH,$0.051019,"$44,885"
96,Litecoin,LTC/ETH,$120.66,"$43,134"
97,MaidSafeCoin,MAID/ETH,$0.243651,"$40,585"
98,Xaurum,XAUR/BTC,$0.081579,"$39,909"
99,Storm,STORM/BTC,$0.028735,"$39,711"
100,ATLANT,ATL/BTC,$0.231281,"$38,337"
101,NEO,NEO/ETH,$48.50,"$36,456"
102,Decentraland,MANA/USDT,$0.071596,"$36,253"
103,Happycoin,HPC/BTC,$0.126153,"$35,872"
104,Ethereum Classic,ETC/ETH,$14.12,"$33,808"
105,SegWit2x,B2X/BTC,$18.43,"$33,490"
106,SkinCoin,SKIN/BTC,$0.015559,"$33,300"
107,Veritaseum,VERI/USDT,$120.91,"$32,497"
108,SwftCoin,SWFTC/ETH,$0.007837,"$31,906"
109,Stratis,STRAT/BTC,$3.41,"$30,786"
110,Enigma,ENG/ETH,$1.39,"$29,442"
111,DigiByte,DGB/BTC,$0.017872,"$29,122"
112,Cashaa,CAS/BTC,$0.044434,"$28,390"
113,MaidSafeCoin,MAID/USDT,$0.250209,"$27,049"
114,0x,ZRX/BTC,$0.525638,"$26,757"
115,Nxt,NXT/ETH,$0.111350,"$26,367"
116,Dragon Coins,DRG/ETH,$0.788374," $26,024"
117,LATOKEN,LA/ETH,$0.151312,"$25,706"
118,Chronobank,TIME/BTC,$9.99,"$25,417"
119,DATx,DATX/ETH,$0.014743,"$25,168"
120,Eidoo,EDO/USDT,$1.68,"$25,013"
121,Peercoin,PPC/USDT,$1.62,"$24,406"
122,BitDegree,BDG/ETH,$0.034957,"$23,946"
123,Banca,BANCA/ETH,$0.000372,"$22,764"
124,Paragon,PRG/ETH,$0.242099,"$22,236"
125,Ripple,XRP/ETH,$0.492734,"$22,104"
126,Siacoin,SC/BTC,$0.010394,"$21,721"
127,Eidoo,EDO/BTC,$1.61,"$21,160"
128,NAGA,NGC/BTC,$0.560680,"$21,058"
129,indaHash,IDH/BTC,$0.056068,"$20,820"
130,Dentacoin,DCN/ETH,$0.000279,"$20,604"
131,Cardano,ADA/ETH,$0.156666,"$20,342"
132,Cryptonex,CNX/BTC,$4.84,"$20,258"
133,Etheroll,DICE/ETH,$0.719313,"$20,027"
134,Revain,R/ETH,$0.805833,"$19,783"
135,Pillar,PLR/BTC,$0.280340,"$19,077"
136,Crypterium,CRPT/USDT,$0.510901,"$18,999"
137,CarTaxi Token,CTX/ETH,$0.009312,"$18,652"
138,CarTaxi Token,CTX/BTC,$0.009111,"$18,532"
139,Nimiq Exchange Token,NET/ETH,$1.86,"$18,279"
140,VeChain,VEN/USDT,$2.34,"$18,055"
141,VeChain,VEN/BTC,$2.27,"$17,578"
142,COSS,COSS/ETH,$0.174591,"$17,557"
143,Dentacoin,DCN/BTC,$0.000280,"$17,552"
144,Storiqa,STQ/BTC,$0.002068,"$16,944"
145,indaHash,IDH/ETH,$0.058197,"$15,972"
146,Cashaa,CAS/ETH,$0.044618,"$15,541"
147,Mothership,MSP/ETH,$0.125705,"$14,874"
148,Dragon Coins,DRG/BTC,$0.784252,"$14,846"
149,Stellar,XLM/BTC, $0.207872,"$14,509"
150,Qtum,QTUM/BTC,$14.44,"$14,493"
151,SmartCash,SMART/BTC,$0.067282,"$14,387"
152,Tierion,TNT/ETH,$0.071776,"$14,288"
153,NAGA,NGC/USDT,$0.588037,"$14,153"
154,Peculium,PCL/BTC,$0.002138,"$13,713"
155,iXledger,IXT/BTC,$0.294357,"$13,712"
156,Presearch,PRE/BTC,$0.166802,"$13,612"
157,Stox,STX/ETH,$0.189722,"$13,503"
158,All Sports,SOC/BTC,$0.028805,"$13,132"
159,IOTA,IOTA/BTC,$1.07,"$12,575"
160,Pillar,PLR/ETH,$0.281285,"$12,384"
161,Status,SNT/BTC,$0.084102,"$12,114"
162,InvestFeed,IFT/BTC,$0.035673,"$12,004"
163,InsurePal,IPL/BTC,$0.060834,"$11,535"
164,Pillar,PLR/USDT,$0.290743,"$11,251"
165,Authorship,ATS/BTC,$0.010513,"$11,211"
166,DubaiCoin,DBIX/BTC,$3.29,"$11,131"
167,Bitcore,BTX/BTC,$5.61,"$10,996"
168,Dogecoin,DOGE/ETH,$0.002793,"$10,821"
169,Dent,DENT/ETH,$0.009312,"$10,445"
170,DigitalDevelopersFund,DDF/ETH,$0.055481,"$10,426"
171,SwissBorg,CHSB/BTC,$0.027333,"$10,002"
172,NEM,XEM/ETH,$0.213389,"$9,999"
173,Substratum,SUB/BTC,$0.336408,"$9,948"
174,VeChain,VEN/ETH,$2.29,"$9,931"
175,SmartCash,SMART/USDT,$0.066117,"$9,788"
176,Universa,UTNP/ETH,$0.015830,"$9,697"
177,Ambrosus,AMB/BTC,$0.307673,"$9,636"
178,DigiByte,DGB/USDT,$0.018437,"$8,884"
179,Decentraland,MANA/BTC,$0.063076,"$8,141"
180,Populous,PPT/BTC,$11.91,"$7,957"
181,Blackmoon,BMC/BTC,$0.574697,"$7,940"
182,Worldcore,WRC/BTC,$0.035042,"$7,925"
183,Bytom,BTM/ETH,$0.465575,"$7,901"
184,OmiseGO,OMG/ETH,$8.39,"$7,681"
185,Bytecoin,BCN/USDT, $0.002244,"$7,637"
186,Ambrosus,AMB/ETH,$0.307279,"$7,569"
187,Santiment Network Token,SAN/ETH,$0.979259,"$7,541"
188,NAGA,NGC/ETH,$0.581969,"$7,455"
189,Aeternity,AE/BTC,$1.52,"$7,342"
190,Universa,UTNP/USDT,$0.016028,"$7,201"
191,BitDice,CSNO/BTC,$0.112136,"$7,126"
192,Peculium,PCL/ETH,$0.002231,"$7,090"
193,Stox,STX/BTC,$0.189230,"$7,085"
194,Dentacoin,DCN/USDT,$0.000291,"$7,043"
195,Cindicator,CND/BTC,$0.063076,"$7,006"
196,Stellar,XLM/USDT,$0.212020,"$6,987"
197,Telcoin,TEL/BTC,$0.001752,"$6,985"
198,eBitcoin,EBTCNEW/BTC,$0.211657,"$6,954"
199,SmartCash,SMART/ETH,$0.068672,"$6,952"
200,IOTA,IOTA/ETH,$1.06,"$6,867"
201,Populous,PPT/ETH,$11.83,"$6,860"
202,Neblio,NEBL/ETH,$7.57,"$6,799"
203,EchoLink,EKO/BTC,$0.033641,"$6,639"
204,Storiqa,STQ/ETH,$0.002006,"$6,638"
205,SunContract,SNC/USDT,$0.159281,"$6,513"
206,FirstBlood,1ST/BTC,$0.168204,"$6,155"
207,SunContract,SNC/BTC,$0.154187,"$6,119"
208,Qtum,QTUM/USDT,$14.87,"$6,044"
209,Blocktix,TIX/ETH,$0.233175,"$6,009"
210,MCAP,MCAP/BTC,$0.287349,"$5,957"
211,TenX,PAY/BTC,$0.861836,"$5,827"
212,Kubera Coin,KBR/BTC,$0.004205,"$5,778"
213,AirToken,AIR/BTC,$0.006938,"$5,745"
214,Playkey,PKT/ETH,$0.306504,"$5,532"
215,Stellar,XLM/ETH,$0.211293,"$5,440"
216,United Traders Token,UTT/ETH,$0.310383,"$5,269"
217,Decentraland,MANA/ETH,$0.073716,"$5,129"
218,CRYPTO20,C20/ETH,$1.03,"$4,980"
219,Loopring,LRC/BTC,$0.373553,"$4,819"
220,ICON,ICX/BTC,$1.91,"$4,778"
221,Po.et,POE/BTC, $0.025392,"$4,766"
222,Neblio,NEBL/BTC,$7.22,"$4,753"
223,DIMCOIN,DIM/USDT,$0.003406,"$4,590"
224,Target Coin,TGT/BTC,$0.015419,"$4,543"
225,Bezop,BEZ/BTC,$0.070786,"$4,534"
226,Telcoin,TEL/ETH,$0.001804,"$4,428"
227,Status,SNT/USDT,$0.086953,"$4,367"
228,Bezop,BEZ/ETH,$0.071000,"$4,366"
229,Genesis Vision,GVT/ETH,$20.56,"$4,288"
230,Po.et,POE/ETH,$0.025661,"$4,207"
231,Elementrem,ELE/BTC,$0.016820,"$4,154"
232,Farad,FRD/BTC,$0.026632,"$4,081"
233,DomRaider,DRT/ETH,$0.011639,"$4,027"
234,Streamr DATAcoin,DATA/ETH,$0.051213,"$3,882"
235,OriginTrail,TRAC/ETH,$0.101806,"$3,844"
236,Komodo,KMD/USDT,$2.22,"$3,783"
237,DigixDAO,DGD/BTC,$225.43,"$3,677"
238,MobileGo,EMGO/BTC,$0.315383,"$3,638"
239,IOTA,IOTA/USDT,$1.11,"$3,616"
240,Bytecoin,BCN/ETH,$0.002211,"$3,602"
241,ZrCoin,ZRC/BTC,$0.946148 ,"$3,594"
242,Odyssey,OCN/BTC,$0.009426,"$3,591"
243,SwissBorg,CHSB/ETH,$0.027624,"$3,575"
244,Qvolta,QVT/ETH,$0.314263,"$3,563"
245,Hive Project,HVN/BTC,$0.041000,"$3,513"
246,Dovu,DOV/ETH,$0.064017,"$3,476"
247,United Traders Token,UTT/USDT,$0.303535,"$3,462"
248,Odyssey,OCN/ETH,$0.009513,"$3,435"
249,Universa,UTNP/BTC,$0.015699,"$3,306"
250,Hshare,HSR/BTC,$5.97,"$3,273"
251,Quantum,QAU/BTC,$0.105128,"$3,261"
252,Steem,STEEM/BTC,$1.40,"$3,218"
253,Titanium Blockchain,BAR/BTC,$0.007709,"$3,139"
254,district0x,DNT/BTC,$0.054666,"$3,097"
255,Peercoin,PPC/BTC,$1.60,"$3,089"
256,Waltonchain,WTC/BTC,$9.60,"$3,088"
257,ETHLend,LEND/BTC,$0.039248,"$3,028"
258,0x,ZRX/ETH,$0.527652,"$3,004"
259,Chronobank,TIME/ETH,$10.01,"$2,985"
260,Lisk,LSK/ETH,$7.36,"$2,907"
261,DECENT,DCT/BTC,$0.350425,"$2,873"
262,HelloGold,HGT/ETH,$0.029874,"$2,834"
263,eBitcoin,EBTCNEW/ETH,$0.214940,"$2,799"
264,True Chain,TRUE/BTC,$0.422613,"$2,771"
265,Ethos,BQX/ETH,$1.98,"$2,754"
266,Streamr DATAcoin,DATA/BTC,$0.050461,"$2,740"
267,Paragon,PRG/BTC,$0.231281,"$2,733"
268,FunFair,FUN/ETH,$0.030456,"$2,713"
269,DigitalNote,XDN/USDT,$0.006807,"$2,704"
270,Cube,AUTO/BTC,$0.011900,"$2,679"
271,Revain,R/BTC,$0.837516,"$2,672"
272,Hive Project,HVN/ETH,$0.042367,"$2,660"
273,Viberate,VIB/BTC,$0.115710,"$2,603"
274,WeTrust,TRST/BTC,$0.203247,"$2,596"
275,SingularDTV,SNGLS/BTC,$0.053755,"$2,588"
276,Achain,ACT/BTC,$0.203247,"$2,527"
277,ICOS,ICOS/BTC,$21.03,"$2,500"
278,Cashaa,CAS/USDT,$0.045807,"$2,488"
279,Super Bitcoin,SBTC/BTC,$24.74,"$2,446"
280,eBitcoin,EBTCNEW/USDT,$0.215380,"$2,437"
281,Streamr DATAcoin,DATA/USDT,$0.055047,"$2,418"
282,Enjin Coin,ENJ/BTC,$0.098119,"$2,413"
283,EchoLink,EKO/ETH,$0.032202,"$2,400"
284,SegWit2x,B2X/ETH,$19.55,"$2,363"
285,KickCoin,KICK/BTC,$0.046256,"$2,339"
286,CRYPTO20,C20/BTC,$1.06,"$2,339"
287,SmartMesh,SMT/ETH,$0.029292,"$2,302"
288,Lampix,PIX/BTC,$0.020325 ,"$2,230"
289,LockChain,LOC/BTC,$0.700850,"$2,225"
290,Patientory,PTOY/ETH,$0.102698,"$2,208"
291,Wild Crypto,WILD/BTC,$0.031608,"$2,182"
292,Fujinto,NTO/BTC,$0.003504,"$2,182"
293,DigiByte,DGB/ETH,$0.017847,"$2,118"
294,DIMCOIN,DIM/BTC,$0.007008,"$2,066"
295,Voise,VOISE/BTC,$0.007709,"$2,060"
296,LockChain,LOC/ETH,$0.698363,"$2,012"
297,Coinlancer,CL/BTC,$0.028034,"$2,009"
298,Starbase,STAR/ETH,$0.019942,"$1,983"
299,SegWit2x,B2X/USDT,$19.30,"$1,947"
300,Bytom,BTM/USDT,$0.470930,"$1,924"
301,Jibrel Network,JNT/ETH,$0.185842,"$1,924"
302,ICOS,ICOS/ETH,$19.42,"$1,924"
303,Etherecash,ECH/BTC,$0.350425,"$1,916"
304,Covesting,COV/BTC,$0.592219,"$1,915"
305,Komodo,KMD/ETH,$1.94,"$1,886"
306,Waves,WAVES/BTC,$3.58,"$1,867"
307,AdEx,ADX/BTC,$0.599718,"$1,857"
308,Agrello,DLT/BTC,$0.140170,"$1,833"
309,Animation Vision Cash,AVH/USDT,$0.005449,"$1,792"
310,Lisk,LSK/USDT,$7.57,"$1,750"
311,Titanium Blockchain,BAR/ETH,$0.007372,"$1,748"
312,Viberate,VIB/USDT,$0.119396,"$1,717"
313,WAX,WAX/BTC,$0.136666,"$1,646"
314,FlypMe,FYP/BTC,$0.098119,"$1,616"
315,Qtum,QTUM/ETH,$14.17,"$1,597"
316,Speed Mining Service,SMS/BTC,$14.02,"$1,579"
317,TaaS,TAAS/ETH,$3.88,"$1,565"
318,GameCredits,GAME/BTC,$1.09,"$1,553"
319,Iconomi,ICN/BTC,$0.735893,"$1,515"
320,DecentBet,DBET/ETH,$0.076781,"$1,508"
321,Metaverse ETP,ETP/USDT,$0.749321,"$1,496"
322,VIBE,VIBE/BTC,$0.156290,"$1,478"
323,Stratis,STRAT/USDT,$3.59,"$1,473"
324,Ethbits,ETBS/BTC,$1.05,"$1,440"
325,BlockMason Credit Protocol,BCPT/BTC,$0.342716,"$1,421"
326,Bytom,BTM/BTC,$0.442237,"$1,413"
327,Augur,REP/ETH,$25.06,"$1,376"
328,Edgeless,EDG/BTC,$0.494800,"$1,361"
329,Rivetz,RVT/BTC,$0.294357,"$1,351"
330,Hackspace Capital,HAC/BTC,$0.023128,"$1,333"
331,DAO.Casino,BET/ETH,$0.022891,"$1,325"
332,Centra,CTR/USDT,$0.323571,"$1,308"
333,Bezop,BEZ/USDT,$0.070214,"$1,279"
334,Aeon,AEON/BTC,$1.46,"$1,266"
335,Coinlancer,CL/USDT,$0.032057,"$1,263"
336,EthBet,EBET/ETH,$0.062077,"$1,258"
337,Monetha,MTH/BTC,$0.084102,"$1,249"
338,Blox,CDT/ETH,$0.033871,"$1,244"
339,bitJob,STU/BTC,$0.021025,"$1,242"
340,Centra,CTR/BTC,$0.315383,"$1,197"
341,Animation Vision Cash,AVH/BTC,$0.005607,"$1,179"
342,DecentBet,DBET/BTC,$0.066581,"$1,147"
343,AirToken,AIR/ETH,$0.007216,"$1,145"
344,Everex,EVX/ETH,$1.00,"$1,127"
345,Propy,PRO/ETH,$0.768199,"$1,109"
346,Dovu,DOV/BTC,$0.056068,"$1,108"
347,Maecenas,ART/BTC,$0.406493,"$1,101"
348,Super Bitcoin,SBTC/USDT,$25.04,"$1,092"
349,Aragon,ANT/BTC,$2.28,"$1,087"
350,UTRUST,UTK/BTC,$0.131129,"$1,084"
351,Worldcore,WRC/USDT,$0.038067,"$1,070"
352,Opus,OPT/BTC,$0.028034,"$1,057"
353,Royal Kingdom Coin,RKC/ETH,$0.013967,"$1,053"
354,Everex,EVX/BTC,$1.05,$999
355,TaaS,TAAS/BTC,$3.58,$977
356,Pluton,PLU/ETH,$6.00,$976
357,Augur,REP/BTC,$24.98, $972
358,ETHLend,LEND/ETH,$0.038798,$963
359,FirstBlood,1ST/ETH,$0.169159,$932
360,Synereo,AMP/BTC,$0.201284,$930
361,Etheroll,DICE/BTC,$0.714867,$927
362,COPYTRACK,CPY/ETH,$0.119886,$918
363,DigitalNote,XDN/ETH,$0.006634,$911
364,Metaverse ETP,ETP/BTC,$0.700850,$905
365,iExec RLC,RLC/BTC,$0.884473,$896
366,Enjin Coin,ENJ/USDT,$0.091441,$890
367,MicroMoney,AMM/BTC,$0.189230,$888
368,Xaurum,XAUR/ETH,$0.081864,$872
369,Covesting,COV/ETH,$0.603308,$851
370,Matryx,MTX/BTC,$0.679825,$851
371,SwftCoin,SWFTC/BTC,$0.007709,$843
372,TenX,PAY/ETH,$0.863525,$843
373,FunFair,FUN/BTC,$0.029226,$842
374,SONM,SNM/ETH,$0.097383,$825
375,WAX,WAX/ETH,$0.138897,$810
376,QuazarCoin,QCN/BTC,$0.007008,$807
377,FunFair,FUN/USDT,$0.029174,$801
378,ICON,ICX/ETH,$1.93,$799
379,Cofound.it,CFI/BTC,$0.052704,$766
380,Bitair,BTCA/ETH,$0.000388,$734
381,Monaco,MCO/BTC,$4.35,$733
382,Wings,WINGS/BTC,$0.369138,$715
383,Useless Ethereum Token,UET/ETH,$0.012415,$697
384,Monetha,MTH/ETH,$0.073716,$674
385,Worldcore,WRC/ETH,$0.038798,$673
386,Pluton,PLU/BTC,$6.01,$668
387,Indicoin,INDI/BTC,$0.008410,$663
388,Patientory,PTOY/BTC,$0.103726,$658
389,AdEx,ADX/USDT,$0.555091,$629
390,Cofound.it,CFI/ETH,$0.052959,$628
391,Substratum,SUB/ETH,$0.341422,$625
392,Octanox,OTX/BTC,$0.025931,$622
393,Zap,ZAP/BTC,$0.121247,$616
394,Blox,CDT/BTC,$0.033641,$611
395,Bitcore,BTX/USDT,$5.76,$602
396,Open Trading Network,OTN/BTC,$2.73,$600
397,ICON,ICX/USDT,$1.95,$581
398,Viberate,VIB/ETH,$0.120002,$575
399,Cindicator,CND/ETH,$0.058585,$553
400,DRP Utility,DRPU/ETH,$0.319307,$548
401,UTRUST,UTK/ETH,$0.134047 ,$542
402,Bancor,BNT/ETH,$2.19,$534
403,Enjin Coin,ENJ/ETH,$0.092339,$532
404,Titanium Blockchain,BAR/USDT,$0.007643, $520
405,Cloud,CLD/USDT,$0.040071,$512
406,OmiseGO,OMG/USDT,$8.46,$504
407,Stratis,STRAT/ETH,$3.45,$485
408,Bitair,BTCA/USDT,$0.000591,$480
409,Polybius,PLBT/BTC,$1.79,$479
410,ATMChain,ATM/BTC,$0.002803,$476
411,Signal Token,SIG/BTC,$0.014017,$471
412,Gnosis,GNO/BTC,$56.15,$467
413,Zeusshield,ZSC/BTC,$0.009812,$456
414,WAX,WAX/USDT,$0.137543,$414
415,Centra,CTR/ETH,$0.314263,$405
416,NEVERDIE,NDC/ETH,$0.025607,$399
417,SISA,SISA/ETH,$0.007760,$397
418,Trade Token,TIO/ETH,$0.165667,$387
419,Monaco,MCO/ETH,$4.31,$377
420,Crystal Clear ,CCT/ETH,$0.046558,$377
421,ArbitrageCT,ARCT/BTC,$0.008200,$375
422,Ambrosus,AMB/USDT,$0.310548,$369
423,Matchpool,GUP/BTC,$0.158252,$361
424,OAX,OAX/ETH,$0.477214,$361
425,Tierion,TNT/BTC,$0.077093,$360
426,Cindicator,CND/USDT,$0.060537,$355
427,Cloud,CLD/ETH,$0.038798,$351
428,Matryx,MTX/ETH,$0.659565,$333
429,Civic,CVC/USDT,$0.211473,$314
430,Neumark,NEU/BTC,$0.259315,$311
431,DADI,DADI/BTC,$0.147879,$310
432,ExchangeN,EXN/BTC,$0.007008,$294
433,Augur,REP/USDT,$25.04,$292
434,Swarm City,SWT/BTC,$1.05,$290
435,OAX,OAX/BTC,$0.476578,$272
436,UTRUST,UTK/USDT,$0.158867,$271
437,Commodity Ad Network,CDX/ETH, $0.027158,$258
438,DRP Utility,DRPU/BTC,$0.322391,$255
439,Emercoin,EMC/ETH,$2.21,$250
440,Monaco,MCO/USDT,$4.61, $247
441,TokenCard,TKN/BTC,$0.809272,$236
442,Lampix,PIX/ETH,$0.021339,$222
443,CryptoPing,PING/BTC,$0.301366,$219
444,Fantomcoin,FCN/BTC,$0.105128,$218
445,Etherparty,FUEL/USDT,$0.052092,$212
446,Speed Mining Service,SMS/USDT,$14.35,$211
447,Dashcoin,DSH/BTC,$0.016365,$211
448,Zap,ZAP/USDT,$0.143919 ,$210
449,BlockMason Credit Protocol,BCPT/ETH,$0.360045,$201
450,Komodo,KMD/BTC,$2.10,$199
451,Blox,CDT/USDT,$0.035549,$199
452,Substratum,SUB/USDT,$0.341602,$195
453,DecentBet,DBET/USDT,$0.071626,$194
454,ATBCoin,ATB/BTC,$0.210255,$191
455,Speed Mining Service,SMS/ETH,$13.97,$190
456,bitJob,STU/USDT,$0.026547,$188
457,Bitair,BTCA/BTC,$0.000701,$177
458,MobileGo,EMGO/USDT,$0.318411,$173
459,COSS,COSS/BTC,$0.140170,$171
460,ClearPoll,POLL/BTC,$0.693842,$162
461,BitClave,CAT/ETH,$0.025607,$161
462,SmartMesh,SMT/USDT,$0.030053,$157
463,DATx,DATX/BTC,$0.014718,$152
464,Cryptopay,CPAY/ETH,$0.042678,$151
465,Sociall,SCL/BTC,$0.168204,$150
466,Genaro Network,GNX/ETH,$0.268365 ,$148
467,Zap,ZAP/ETH,$0.138780,$145
468,BitClave,CAT/USDT,$0.026006,$143
469,Status,SNT/ETH,$0.083804,$138 
470,Trade Token,TIO/BTC,$0.167503,$137
471,ICOS,ICOS/USDT,$24.07,$132
472,FundYourselfNow,FYN/ETH,$1.26,$130
473,Exchange Union,XUC/USDT,$5.47,$127
474,Quantum,QAU/ETH,$0.100099,$125
475,YOYOW,YOYOW/BTC,$0.068683,$124
476,bitJob,STU/ETH,$0.024831,$122
477,Zeusshield,ZSC/USDT,$0.012913,$119
478,Lunyr,LUN/BTC,$7.47,$113
479,SmartMesh,SMT/BTC,$0.026422,$107
480,United Traders Token,UTT/BTC,$0.350425,$97
481,Neumark,NEU/ETH,$0.291760,$96
482,Exchange Union,XUC/ETH,$5.35,$89
483,ATMChain,ATM/USDT,$0.003406,$88
484,BitClave,CAT/BTC,$0.021025,$85
485,DIMCOIN,DIM/ETH,$0.003880,$84
486,ChatCoin,CHAT/BTC,$0.081299,$81
487,ChatCoin,CHAT/USDT,$0.078859,$76
488,ChatCoin,CHAT/ETH,$0.079148,$69
489,MicroMoney,AMM/ETH,$0.205629,$66
490,COPYTRACK,CPY/BTC,$0.115640,$65
491,Coinlancer,CL/ETH,$0.027158,$62
492,Gnosis,GNO/ETH,$57.56,$55
493,EchoLink,EKO/USDT,$0.030534,$53
494,Minereum,MNE/BTC,$0.140170,$51
495,CryptoInsight,TKR/ETH,$0.023279,$47
496,Steem Dollars,SBD/BTC,$3.22,$43
497,ATBCoin,ATB/USDT,$0.188332,$38
498,Exchange Union,XUC/BTC,$5.33,$37
499,Aeron,ARN/BTC,$0.869054,$35
500,Aeron,ARN/ETH,$0.853554,$34
