,currency_name,currency_pairs,currency_prices,currency_volumes
53,Substratum,SUB/BTC,$0.334095,"$3,083,900"
54,Ethos,BQX/BTC,$1.95,"$3,072,120"
55,INS Ecosystem,INS/BTC,$1.02,"$2,989,600"
56,BlockMason Credit Protocol,BCPT/BTC,$0.363671,"$2,843,660"
57,NEO,NEO/ETH,$48.50,"$2,774,160"
58,Triggers,TRIG/BTC,$0.742901,"$2,758,110"
59,Cardano,ADA/ETH,$0.150885,"$2,664,750"
60,Monaco,MCO/BTC,$4.42,"$2,576,540"
61,Waltonchain,WTC/BTC,$9.57,"$2,519,250"
62,AirSwap,AST/BTC,$0.252376,"$2,506,600"
63,Ontology,ONT/ETH,$2.13,"$2,481,450"
64,Viberate,VIB/BTC,$0.115991,"$2,427,160"
65,SALT,SALT/BTC,$2.01,"$2,400,760"
66,ICON,ICX/ETH,$2.13,"$2,345,860"
67,Centra,CTR/BTC,$0.309496,"$2,316,350"
68,Ripple,XRP/ETH,$0.490561,"$2,218,370"
69,Power Ledger,POWR/BTC,$0.268706,"$2,015,480"
70,Qtum,QTUM/USDT,$14.28,"$1,958,410"
71,Wanchain,WAN/ETH,$3.22,"$1,840,390"
72,Bitcoin Gold,BTG/BTC,$41.29,"$1,825,020"
73,Tierion,TNT/BTC,$0.071347,"$1,806,250 "
74,Ambrosus,AMB/ETH,$0.304738,"$1,753,680"
75,aelf,ELF/ETH,$0.544312,"$1,740,220"
76,Zilliqa,ZIL/BTC,$0.044644,"$1,713,610"
77,Lisk,LSK/BTC,$7.35,"$1,616,070"
78,Enigma,ENG/BTC,$1.41,"$1,601,480"
79,Ripio Credit Network,RCN/BTC,$0.082350,"$1,580,290"
80,IOTA,IOTA/ETH,$1.04,"$1,490,190"
81,POA Network,POA/BTC,$0.339492 ,"$1,389,210"
82,QLINK,QLC/ETH,$0.142900,"$1,325,660"
83,WePower,WPR/BTC,$0.086905,"$1,320,550"
84,0x,ZRX/BTC,$0.525638,"$1,258,200"
85,BitShares,BTS/BTC,$0.136315,"$1,229,370"
86,Litecoin,LTC/ETH,$120.16,"$1,197,360"
87,VeChain,VEN/ETH,$2.28,"$1,195,700"
88,Nucleus Vision,NCASH/ETH,$0.026577,"$1,163,740"
89,Aeternity,AE/BTC,$1.49,"$1,141,810"
90,OAX,OAX/BTC,$0.454642,"$1,127,320"
91,SingularDTV,SNGLS/BTC,$0.054106,"$1,089,840"
92,Nano,NANO/ETH, $5.39,"$1,085,330"
93,POA Network,POA/ETH,$0.342582,"$1,012,680"
94,IOStoken,IOST/ETH,$0.022472,"$980,156"
95,Po.et,POE/BTC,$0.025301,"$956,132"
96,Bread,BRD/BTC,$0.437261,"$934,093"
97,Ontology,ONT/BNB,$2.11,"$913,858"
98,Time New Bank,TNB/BTC,$0.027613,"$911,203"
99,NEM,XEM/BTC,$0.209624,"$902,148"
100,Bitcoin Cash,BCC/ETH,$671.05,"$846,001"
101,OmiseGO,OMG/ETH,$8.42,"$845,579"
102,Qtum,QTUM/ETH,$14.42,"$824,404"
103,Waltonchain,WTC/ETH, $9.65,"$791,132"
104,DigixDAO,DGD/ETH,$226.66,"$751,455"
105,Zcash,ZEC/BTC,$191.16,"$750,061"
106,district0x,DNT/ETH,$0.054872,"$748,736"
107,CyberMiles,CMT/BTC,$0.076673,"$738,057"
108,Storm,STORM/ETH,$0.029723,"$737,177"
109,PIVX,PIVX/BTC,$3.78,"$720,200"
110,ETHLend,LEND/BTC,$0.041841,"$671,575"
111,Basic Attention Token,BAT/BTC,$0.196939,"$653,623"
112,Aion,AION/ETH,$1.95,"$652,271"
113,Wings,WINGS/BTC,$0.368998,"$649,906"
114,Hshare,HSR/BTC,$5.56,"$648,602"
115,Agrello,DLT/BTC,$0.152225,"$630,890"
116,Syscoin,SYS/BTC,$0.273682,"$606,350"
117,Request Network,REQ/BTC,$0.155589,"$596,713 "
118,Cindicator,CND/BTC,$0.061254,"$591,039"
119,AppCoins,APPC/BTC,$0.321410,"$572,243"
120,Raiden Network Token,RDN/BTC,$1.26,"$565,769"
121,Aeternity,AE/ETH,$1.50,"$557,880"
122,Loopring,LRC/BTC,$0.376076,"$552,037"
123,Moeda Loyalty Points,MDA/BTC,$0.705616,"$535,707"
124,Gifto,GTO/BTC,$0.178156,"$524,920"
125,Monetha,MTH/BTC,$0.079056,"$524,522"
126,Bluzelle,BLZ/BTC,$0.293656,"$523,943"
127,Zilliqa,ZIL/ETH,$0.045006,"$506,178"
128,Populous,PPT/BTC,$11.64,"$484,991"
129,NEO,NEO/BNB,$48.07,"$477,282"
130,FunFair,FUN/BTC,$0.030627,"$472,238"
131,Genesis Vision,GVT/ETH,$20.99,"$469,215"
132,Kyber Network,KNC/BTC,$0.953857,"$428,700"
133,Litecoin,LTC/BNB,$118.98,"$406,822"
134,0x,ZRX/ETH,$0.529999,"$397,918"
135,Quantstamp,QSP/BTC,$0.098890,"$392,368"
136,Gas,GAS/BTC,$15.24,"$387,827"
137,Dash,DASH/ETH,$299.18,"$371,730"
138,ZCoin,XZC/BTC,$29.04,"$367,753"
139,Monero,XMR/ETH,$179.35,"$363,502"
140,AdEx,ADX/BNB,$0.571827,"$362,876"
141,VIBE,VIBE/BTC,$0.160915,"$357,692"
142,Lunyr,LUN/BTC,$7.40,"$357,267"
143,CyberMiles,CMT/ETH,$0.076956,"$353,055"
144,ETHLend,LEND/ETH,$0.042193,"$347,006"
145,Bitcoin Diamond,BCD/BTC,$20.16,"$332,910"
146,Ethos,BQX/ETH,$1.97,"$332,643"
147,WePower,WPR/ETH,$0.087978,"$329,953"
148,Blox,CDT/BTC,$0.034972,"$329,766"
149,ICON,ICX/BNB,$2.11,"$327,656"
150,Request Network,REQ/ETH,$0.156534,"$319,561"
151,Ethereum Classic,ETC/ETH,$14.12,"$315,262"
152,BitShares,BTS/ETH,$0.136957,"$311,375"
153,Lisk,LSK/ETH,$7.40,"$308,038"
154,AdEx,ADX/BTC,$0.578552,"$291,200"
155,Etherparty,FUEL/BTC,$0.057259,"$281,803"
156,Stellar,XLM/BNB,$0.211525,"$281,246"
157,WaBi,WABI/BTC,$0.613875,"$280,755"
158,OST,OST/BTC,$0.128676,"$279,395"
159,OAX,OAX/ETH,$0.457777,"$276,267"
160,Red Pulse,RPX/BTC,$0.067842,"$275,020"
161,Aeron,ARN/BTC,$0.929047,"$274,400"
162,Everex,EVX/BTC,$0.992264,"$274,335"
163,Neblio,NEBL/ETH,$7.46,"$260,691"
164,Bread,BRD/ETH,$0.442684,"$257,264"
165,ChatCoin,CHAT/BTC,$0.078215,"$250,637"
166,AirSwap,AST/ETH,$0.253622,"$249,772"
167,Modum,MOD/BTC,$1.66,"$246,071"
168,Basic Attention Token,BAT/ETH,$0.197295,"$245,721"
169,Populous,PPT/ETH,$11.74,"$245,682"
170,Nano,NANO/BNB,$5.35,"$245,409"
171,GXChain,GXS/BTC,$2.63,"$244,007"
172,Ambrosus,AMB/BNB,$0.299914,"$240,800"
173,Hshare,HSR/ETH,$5.60,"$235,365"
174,NEM,XEM/ETH,$0.211837,"$230,910"
175,Steem,STEEM/BTC,$1.44,"$230,550"
176,BlockMason Credit Protocol,BCPT/ETH,$0.366567,"$228,378"
177,Decentraland,MANA/BTC,$0.067632,"$224,960"
178,Bluzelle,BLZ/ETH,$0.296672,"$215,897"
179,Monetha,MTH/ETH,$0.079869,"$215,427"
180,IOTA,IOTA/BNB,$1.04,"$214,045"
181,YOYOW,YOYO/BTC,$0.068683,"$212,195"
182,Raiden Network Token,RDN/ETH,$1.27,"$212,016"
183,Centra,CTR/ETH,$0.311819,"$203,429"
184,Quantstamp,QSP/ETH,$0.099897,"$197,210"
185,AdEx,ADX/ETH,$0.575994,"$197,162"
186,Kyber Network,KNC/ETH,$0.956213,"$192,632"
187,NavCoin,NAV/BTC,$0.819995,"$192,364"
188,Viacoin,VIA/BTC,$1.22,"$190,514"
189,Ark,ARK/BTC,$1.96,"$190,472"
190,ChainLink,LINK/ETH,$0.273529,"$188,262"
191,Po.et,POE/ETH,$0.025401,"$186,265"
192,Gifto,GTO/ETH,$0.179355,"$185,701"
193,Loopring,LRC/ETH,$0.380161,"$184,626"
194,Komodo,KMD/BTC,$2.37,"$184,615"
195,SONM,SNM/BTC,$0.101063,"$184,156"
196,Enjin Coin,ENJ/ETH,$0.099532,"$177,940"
197,Blox,CDT/ETH,$0.035232,"$175,849"
198,Enigma,ENG/ETH,$1.42,"$174,077"
199,POA Network,POA/BNB,$0.339948,"$173,688"
200,Cindicator,CND/ETH,$0.061708,"$171,706"
201,FunFair,FUN/ETH,$0.030755,"$171,280"
202,iExec RLC,RLC/BTC,$0.839619,"$169,496"
203,Bitcoin Gold,BTG/ETH,$41.69,"$159,645"
204,Nuls,NULS/ETH,$2.10,"$156,794"
205,Wanchain,WAN/BNB,$3.21,"$152,281"
206,Nucleus Vision,NCASH/BNB,$0.026202,"$148,876"
207,VeChain,VEN/BNB,$2.25,"$145,797"
208,Storm,STORM/BNB,$0.029575,"$139,486"
209,Iconomi,ICN/BTC,$0.723978,"$136,696"
210,SingularDTV,SNGLS/ETH,$0.054410,"$132,570"
211,AppCoins,APPC/ETH,$0.323924,"$132,547"
212,Syscoin,SYS/ETH,$0.275384,"$127,666"
213,Time New Bank,TNB/ETH,$0.027698,"$122,272"
214,Monaco,MCO/BNB,$4.48,"$119,617"
215,Stratis,STRAT/ETH,$3.47,"$117,773"
216,Metal,MTL/ETH,$3.40,"$116,826"
217,Substratum,SUB/ETH,$0.335811,"$115,565"
218,Bancor,BNT/BTC,$2.18,"$115,295"
219,SALT,SALT/ETH,$2.03,"$106,670"
220,Status,SNT/ETH,$0.084552,"$106,363"
221,Agrello,DLT/ETH,$0.154493,"$102,338"
222,Zcash,ZEC/ETH,$192.44,"$101,102"
223,Etherparty,FUEL/ETH,$0.057999,"$100,229"
224,Waltonchain,WTC/BNB,$9.56,"$97,988"
225,GXChain,GXS/ETH,$2.65,"$91,446"
226,PIVX,PIVX/ETH,$3.81,"$91,031"
227,Tierion,TNT/ETH,$0.072172,"$87,505"
228,ChatCoin,CHAT/ETH,$0.079276,"$84,553"
229,Wings,WINGS/ETH,$0.371917,"$84,272"
230,Modum,MOD/ETH,$1.65,"$81,704"
231,Waves,WAVES/ETH,$3.60,"$80,133"
232,Storj,STORJ/BTC,$0.639316,"$77,861"
233,Steem,STEEM/ETH,$1.46,"$76,542"
234,Bitcoin Diamond,BCD/ETH,$20.37,"$76,354"
235,INS Ecosystem,INS/ETH,$1.04,"$75,729"
236,Eidoo,EDO/ETH,$1.63,"$75,001"
237,Power Ledger,POWR/ETH,$0.271042,"$74,071"
238,Bancor,BNT/ETH,$2.20,"$71,006"
239,Decentraland,MANA/ETH,$0.068924,"$70,864"
240,Everex,EVX/ETH,$1.01,"$68,544"
241,Viberate,VIB/ETH,$0.115944,"$67,694"
242,Viacoin,VIA/ETH,$1.22,"$66,134"
243,Moeda Loyalty Points,MDA/ETH,$0.710894,"$65,710"
244,OST,OST/ETH,$0.129061,"$64,909"
245,Monaco,MCO/ETH,$4.49,"$64,853"
246,Komodo,KMD/ETH,$2.40,"$64,291"
247,VIBE,VIBE/ETH,$0.161128,"$62,764"
248,Zilliqa,ZIL/BNB,$0.044532,"$61,150"
249,Triggers,TRIG/ETH,$0.749964,"$59,042"
250,Ark,ARK/ETH,$1.98,"$55,645"
251,Viacoin,VIA/BNB,$1.22,"$52,740"
252,ZCoin,XZC/ETH,$29.34,"$52,606"
253,ZCoin,XZC/BNB,$28.95,"$51,924"
254,BlockMason Credit Protocol,BCPT/BNB,$0.361201,"$51,191"
255,Lunyr,LUN/ETH,$7.49,"$50,780"
256,Iconomi,ICN/ETH,$0.735647,"$48,260"
257,Aeternity,AE/BNB,$1.48,"$47,153"
258,YOYOW,YOYO/ETH,$0.070038,"$45,606"
259,Qtum,QTUM/BNB,$14.20,"$45,225"
260,CyberMiles,CMT/BNB,$0.076806,"$44,292"
261,Ripio Credit Network,RCN/ETH,$0.083109,"$44,223"
262,WaBi,WABI/ETH,$0.620410,"$43,952"
263,Bread,BRD/BNB,$0.436770,"$41,845"
264,Aeron,ARN/ETH,$0.933451,"$39,753"
265,SONM,SNM/ETH,$0.101980,"$37,714"
266,Red Pulse,RPX/ETH,$0.068405,"$35,959"
267,NEM,XEM/BNB,$0.210626,"$35,496"
268,NavCoin,NAV/ETH,$0.822516,"$35,375"
269,Lisk,LSK/BNB,$7.31,"$33,975"
270,Nuls,NULS/BNB,$2.08,"$31,110"
271,iExec RLC,RLC/ETH,$0.838035,"$30,569"
272,Cindicator,CND/BNB,$0.060500,"$30,022"
273,BitShares,BTS/BNB,$0.134720,"$28,282"
274,Aion,AION/BNB,$1.94,"$26,285"
275,YOYOW,YOYO/BNB,$0.068709,"$25,237"
276,PIVX,PIVX/BNB,$3.77,"$24,614"
277,Syscoin,SYS/BNB,$0.273038,"$24,127"
278,AppCoins,APPC/BNB,$0.318357,"$20,219"
279,Neblio,NEBL/BNB,$7.42,"$19,503"
280,NavCoin,NAV/BNB,$0.827660,"$18,420"
281,Agrello,DLT/BNB,$0.151025,"$18,087"
282,Raiden Network Token,RDN/BNB,$1.25,"$17,824"
283,Red Pulse,RPX/BNB,$0.067697,"$15,566"
284,Triggers,TRIG/BNB,$0.734885,"$14,384"
285,Steem,STEEM/BNB,$1.44,"$14,178"
286,Storj,STORJ/ETH,$0.641136,"$13,042"
287,Bluzelle,BLZ/BNB,$0.292605,"$10,920"
288,Quantstamp,QSP/BNB,$0.098734,"$10,665"
289,OST,OST/BNB,$0.127972,"$9,241"
290,Ripio Credit Network,RCN/BNB,$0.081979,"$8,857"
291,Waves,WAVES/BNB,$3.54,"$8,057"
292,WaBi,WABI/BNB,$0.613773,"$7,919"
293,Gifto,GTO/BNB,$0.176103,"$6,464"
294,Basic Attention Token,BAT/BNB,$0.194995,"$6,199"
295,iExec RLC,RLC/BNB,$0.842279,"$4,457"
296,Power Ledger,POWR/BNB,$0.269214,"$3,091"
