,market,pair,trade_price,trade_volume
348,OKEx,SNC/BTC,"$8,992.06 ","$1,549,640 "
349,Huobi,LET/BTC,"$8,702.00 ","$1,546,010 "
350,Upbit,XRP/BTC,"$8,698.62 ","$1,545,280 "
351,BtcTrade.im,BCH/BTC,"$8,928.08 ","$1,541,310 "
352,Huobi,CVC/BTC,"$8,695.28 ","$1,540,610 "
353,Huobi,ENG/BTC,"$8,691.08 ","$1,535,140 "
354,RightBTC,LTC/BTC,"$8,607.24 ","$1,533,270 "
355,Exrates,BCH/BTC,"$8,790.32 ","$1,526,130 "
356,Huobi,WICC/BTC,"$8,889.96 ","$1,510,420 "
357,Exmo,BTC/EUR,"$8,873.68 ","$1,501,290 "
358,YoBit,WAVES/BTC,"$8,702.48 ","$1,500,950 "
359,Upbit,AMP/BTC,"$8,657.10 ","$1,496,420 "
360,Binance,APPC/BTC,"$8,712.07 ","$1,495,090 "
361,OKEx,R/BTC,"$8,548.34 ","$1,493,800 "
362,Upbit,ADT/BTC,"$8,937.41 ","$1,492,290 "
363,Poloniex,DASH/BTC,"$8,669.73 ","$1,490,370 "
364,Cryptopia,ORME/BTC,"$8,664.34 ","$1,490,070 "
365,HitBTC,W3C/BTC,"$8,699.58 ","$1,482,970 "
366,Bittrex,VTC/BTC,"$8,709.40 ","$1,475,120 "
367,Huobi,GNX/BTC,"$8,682.64 ","$1,475,030 "
368,Bibox,CAT/BTC,"$8,537.97 ","$1,473,470 "
369,Huobi,BLZ/BTC,"$8,663.15 ","$1,470,290 "
370,Bit-Z,OC/BTC,"$9,047.30 ","$1,465,720 "
371,Huobi,MANA/BTC,"$8,714.80 ","$1,465,550 "
372,Huobi,QASH/BTC,"$8,612.50 ","$1,460,630 "
373,Huobi,QUN/BTC,"$8,701.82 ","$1,457,890 "
374,Bit-Z,NKC/BTC,"$8,689.47 ","$1,457,450 "
375,Bittrex,OMG/BTC,"$8,630.52 ","$1,450,390 "
376,BitMarket,BTC/PLN,"$8,695.81 ","$1,446,150 "
377,Binance,LUN/BTC,"$8,713.36 ","$1,441,500 "
378,Upbit,NEO/BTC,"$8,641.93 ","$1,436,460 "
379,Bittrex,AMP/BTC,"$8,654.84 ","$1,436,190 "
380,TOPBTC,ATB/BTC,"$8,352.06 ","$1,425,360 "
381,Huobi,MCO/BTC,"$8,692.13 ","$1,418,560 "
382,Huobi,OMG/BTC,"$8,679.72 ","$1,412,360 "
383,LakeBTC,BTC/JPY,"$9,330.06 ","$1,409,230 "
384,Bittrex,DASH/BTC,"$8,693.10 ","$1,398,000 "
385,Huobi,SOC/BTC,"$8,794.50 ","$1,395,150 "
386,OkCoin Intl.,BTC/USD,"$9,344.46 ","$1,386,620 "
387,Huobi,ACT/BTC,"$8,519.37 ","$1,379,800 "
388,Bittrex,RDD/BTC,"$8,810.53 ","$1,366,980 "
389,Huobi,LSK/BTC,"$8,730.27 ","$1,366,510 "
390,OEX,ETH/BTC,"$9,266.90 ","$1,365,620 "
391,BitMEX,BTC/USD,"$8,681.00 ","$3,190,190,000 "
392,Quoine,BTC/JPY,"$8,783.63 ","$95,626,700 "
393,Zaif,BTC/JPY,"$8,793.17 ","$88,460,300 "
394,Fisco,BTC/JPY,"$8,787.54 ","$88,417,200 "
395,ZB.COM,BTC/USDT,"$8,688.25 ","$13,678,200 "
396,GOPAX,BTC/KRW,"$8,986.96 ","$11,105,900 "
397,Quoine,BTC/USD,"$8,709.72 ","$8,695,330 "
398,Quoine,BTC/SGD,"$8,714.76 ","$3,881,860 "
399,Negocie Coins,B2X/BTC,$2.82 ,"$23,669,400 "
